Dataset,Fitness,Accuracy,Features,Reduction (%),Time (s)
wine,0.6178062678062678,0.9814814814814815,3/13,76.92307692307692,6.0702965259552
breast,0.63953216374269,0.9707602339181286,4/30,86.66666666666667,10.775559425354004
